Title,Date,URL,Website
CDE interpone querella contra Karina Oliva y otros exmilitantes de Comunes por fraude de subvenciones,18/12/2023,https://www.adnradio.cl/2023/12/18/cde-interpone-querella-contra-karina-oliva-y-otros-exmilitantes-de-comunes-por-fraude-de-subvenciones/,ADNRadio
CDE se querella por soborno y cohecho en caso de luminarias en Puente Alto,09/05/2023,https://www.adnradio.cl/nacional/2023/05/09/cde-se-querella-por-soborno-y-cohecho-en-caso-de-luminarias-en-puente-alto.html,ADNRadio
CDE se querella por escuchas telefónicas ilegales dentro del Ejército,28/04/2023,https://www.adnradio.cl/nacional/2023/04/28/cde-se-querella-por-escuchas-telefonicas-ilegales-dentro-del-ejercito.html,ADNRadio
CDE ha estudiado más de mil causas relacionadas con las protestas sociales,20/01/2020,https://www.adnradio.cl/nacional/2020/01/20/cde-ha-estudiado-mas-de-mil-causas-relacionadas-con-las-protestas-sociales-4004967.html,ADNRadio
CDE no intervendrá en el caso del viaje del ministro Larraín,25/05/2018,https://www.adnradio.cl/nacional/2018/05/25/cde-no-intervendra-en-el-caso-del-viaje-del-ministro-larrain-3754487.html,ADNRadio
"Farmacias Populares: Fiscalía solicita formalizar al alcalde de Recoleta, Daniel Jadue, por diversos delitos de corrupción",02/04/2024,https://www.adnradio.cl/2024/04/02/farmacias-populares-fiscalia-solicita-formalizar-al-alcalde-de-recoleta-daniel-jadue-por-diversos-delitos-de-corrupcion/,ADNRadio
Bienes Nacionales oficiará al Consejo de Defensa del Estado para tomar acciones judiciales por incendios en Reserva Lago Peñuelas,09/02/2024,https://www.adnradio.cl/2024/02/09/bienes-nacionales-oficiara-al-consejo-de-defensa-del-estado-para-tomar-acciones-judiciales-por-incendios-en-reserva-lago-penuelas/,ADNRadio
“Perseveró en atender su interés particular”: CDE responde a la demanda de exembajadora Susana Herrera,27/12/2023,https://www.adnradio.cl/2023/12/27/persevero-en-atender-su-interes-particular-cde-responde-a-la-demanda-de-exembajadora-susana-herrera/,ADNRadio
Juzgado abrió testamento de Lucía Hiriart tras demanda del CDE,08/02/2023,https://www.adnradio.cl/nacional/2023/02/08/juzgado-abrio-testamento-de-lucia-hiriart-tras-demanda-del-cde.html,ADNRadio
CDE se querellará contra senador Ossandón por tráfico de influencias,11/08/2020,https://www.adnradio.cl/politica/2020/08/11/cde-presentara-una-querella-contra-el-senador-ossandon-por-trafico-de-influencias.html,ADNRadio
Javiera Blanco: «Nunca he recibido gastos reservados»,05/03/2020,https://www.adnradio.cl/nacional/2020/03/05/javiera-blanco-nunca-he-recibido-gastos-reservados.html,ADNRadio
Javiera Blanco pide permiso sin goce de sueldo por dos meses en el CDE,21/08/2018,https://www.adnradio.cl/nacional/2018/08/21/javiera-blanco-pide-permiso-sin-goce-de-sueldo-por-dos-meses-en-el-cde-3789051.html,ADNRadio
Consejo de Defensa del Estado se querella en contra del exministro Jorge Insunza,29/11/2017,https://www.adnradio.cl/nacional/2017/11/29/consejo-de-defensa-del-estado-se-querella-en-contra-del-exministro-jorge-insunza-3651630.html,ADNRadio
CDE se querelló por »revelación de secreto» en Caso La Polar,08/03/2012,https://www.adnradio.cl/economia/2012/03/08/cde-se-querello-por-revelacion-de-secreto-en-caso-la-polar-1651453.html,ADNRadio
Allende: Sería inaceptable que CDE no permita venta de activos de minera,08/11/2010,https://www.adnradio.cl/politica/2010/11/08/allende-seria-inaceptable-que-cde-no-permita-venta-de-activos-de-minera-1382225.html,ADNRadio
CDE acuerda presentar una querella ante irregularidades en caso Democracia Viva,24/08/2023,https://www.adnradio.cl/nacional/2023/08/24/cde-acuerda-presentar-una-querella-ante-irregularidades-en-caso-democracia-viva.html,ADNRadio
Democracia Viva: juzgado de Antofagasta decreta retención de bienes a la fundación tras solicitud de CDE,27/07/2023,https://www.adnradio.cl/nacional/2023/07/27/democracia-viva-juzgado-de-antofagasta-decreta-retencion-de-bienes-a-la-fundacion-tras-solicitud-de-cde.html,ADNRadio
Presidente Boric nombra a Raúl Letelier como nuevo presidente del Consejo de Defensa del Estado,12/04/2023,https://www.adnradio.cl/nacional/2023/04/12/presidente-boric-nombra-a-raul-letelier-como-nuevo-presidente-del-consejo-de-defensa-del-estado.html,ADNRadio
CDE se querelló por irregularidades en la remodelación de central de comunicaciones de Carabineros,24/01/2018,https://www.adnradio.cl/nacional/2018/01/24/cde-se-querello-por-irregularidades-en-la-remodelacion-de-central-de-comunicaciones-de-carabineros-3698695.html,ADNRadio
Michelle Bachelet nombró a María Eugenia Manaud como nueva presidenta del CDE,10/03/2017,https://www.adnradio.cl/nacional/2017/03/10/michelle-bachelet-nombro-a-maria-eugenia-manaud-como-nueva-presidenta-del-cde-3405115.html,ADNRadio
Decreto que nombra a Javiera Blanco en el CDE fue devuelto por Contraloría,14/02/2017,https://www.adnradio.cl/politica/2017/02/14/decreto-que-nombra-a-javiera-blanco-en-el-cde-fue-devuelto-por-contraloria-3384015.html,ADNRadio
UDI afina proyecto para modificar sistema de designaciones en CDE tras caso Blanco,11/02/2017,https://www.adnradio.cl/politica/2017/02/11/udi-afina-proyecto-para-modificar-sistema-de-designaciones-en-cde-tras-caso-blanco-3381233.html,ADNRadio
CDE se querelló contra exsubsecretario de Minería por Caso Penta,16/11/2014,https://www.adnradio.cl/economia/2014/11/16/cde-se-querello-contra-exsubsecretario-de-mineria-por-caso-penta-2509820.html,ADNRadio
CDE impugnó libertad condicional otorgada al mayor (r) Cereceda por Caso Antuco,01/09/2011,https://www.adnradio.cl/nacional/2011/09/01/cde-impugno-libertad-condicional-otorgada-al-mayor-r-cereceda-por-caso-antuco-1540875.html,ADNRadio
Diputados pidieron al CDE que apoye querellas por edificios derrumbados,31/03/2010,https://www.adnradio.cl/nacional/2010/03/31/diputados-pidieron-al-cde-que-apoye-querellas-por-edificios-derrumbados-981624.html,ADNRadio
Evelyn Matthei valora querella del CDE contra exalcalde Torrealba: «No podemos aceptar la corrupción»,28/12/2022,https://www.adnradio.cl/nacional/2022/12/28/evelyn-matthei-valora-querella-del-cde-contra-exalcalde-raul-torrealba-no-podemos-aceptar-la-corrupcion.html,ADNRadio
CDE valora la detención masiva de médicos imputados por emisión de licencias falsas,06/12/2022,https://www.adnradio.cl/nacional/2022/12/06/cde-valora-la-detencion-masiva-de-medicos-imputados-por-emision-de-licencias-falsas.html,ADNRadio
